Date,Day1,Day2,Day3,Day4,Day5
2020-07-05,12.97558,13.63545,13.54177,8.53525,9.1011
2020-07-06,11.75326,7.98741,8.57191,5.9667,5.32194
2020-07-07,12.08755,7.77009,7.00719,5.58556,4.16044
2020-07-08,5.92187,3.03322,1.93022,1.39886,3.73286
2020-07-09,13.707,14.77578,16.79303,13.50695,10.4984
2020-07-10,2.69274,3.61403,15.68529,9.40659,4.26534
2020-07-11,10.13892,10.57821,7.86021,13.64139,14.69592
2020-07-12,6.60748,13.12044,18.32581,15.33278,12.42356
2020-07-13,5.02012,7.7646,14.50629,12.13033,17.90618
2020-07-14,2.1236,7.12066,5.50726,7.79202,4.88912
2020-07-15,22.44996,18.48216,17.60657,20.40427,11.78436
2020-07-16,33.01281,21.51372,15.95817,15.72585,18.69571
2020-07-17,19.29885,22.57558,22.43567,19.6652,25.67444
2020-07-18,9.27926,11.78306,16.08902,15.11929,23.64227
2020-07-19,14.63153,11.67975,13.15896,21.07604,23.71783
2020-07-20,17.97961,8.8231,6.67502,15.48468,24.78764
2020-07-21,8.90897,12.35424,9.66965,7.03806,14.71448
2020-07-22,9.8284,7.21595,5.52185,6.41485,5.99654
2020-07-23,9.3784,5.12657,3.3967,4.34321,5.93863
2020-07-24,15.56425,23.50425,30.91561,15.05358,9.5418
2020-07-25,16.68073,14.21223,7.60612,1.92469,10.15637
2020-08-01,15.51019,16.46009,19.31864,29.48349,30.74251
2020-08-02,38.15355,30.32172,25.25458,31.37067,28.42829
2020-08-03,20.0917,23.9859,28.02193,29.26469,29.81364
2020-08-04,21.76348,19.12838,18.11037,21.56051,21.4069
2020-08-05,24.50319,25.8437,29.49983,23.08886,24.83884
2020-08-06,43.18911,42.42911,41.62343,43.3458,31.46249
2020-08-07,30.06267,25.98264,39.88426,41.81529,36.01871
2020-08-08,40.6849,30.95864,24.92942,34.8896,45.46695
2020-08-09,59.853,42.3781,36.64452,32.96003,44.17869
2020-08-10,19.37027,18.65956,15.01797,19.81372,30.24529
2020-08-11,14.53565,11.65858,10.0784,10.36797,9.27735
2020-08-12,7.88391,4.23628,2.24566,2.08027,4.23378
2020-08-13,3.46715,1.83914,0.71197,0.44763,0.44093
2020-08-14,2.38474,2.8714,1.61507,1.96774,0.79268
2020-08-15,4.14929,3.10824,3.5825,1.74166,1.98335
2020-08-16,5.13521,1.42833,0.47287,0.41514,0.55005
2020-08-17,2.9603,3.66726,0.67346,1.28535,0.85684
2020-08-18,3.88959,1.18983,1.04621,0.42348,0.49908
2020-08-19,0.79233,0.53226,0.38185,0.59611,0.14499
2020-08-20,2.71956,1.17322,0.76372,1.24687,0.80193
2020-08-21,1.75728,1.62023,0.99233,2.01048,1.2666
2020-08-22,2.20212,1.98421,1.47788,0.92503,1.86113
2020-08-23,6.20593,2.2248,1.80946,4.00225,2.91908
2020-08-24,6.25701,3.10282,0.89314,2.10611,3.54479
2020-08-25,1.29156,1.2249,1.7744,1.54666,1.99917
2020-08-26,1.41993,1.64159,2.61208,3.22963,3.70021
2020-09-05,5.84392,7.88501,7.16271,12.08117,11.82108
2020-09-06,40.93406,28.00176,48.68224,23.99648,18.67628
2020-09-07,37.80682,33.59189,15.31587,16.53555,59.21687
2020-09-08,14.15085,19.49341,28.65871,7.42935,6.18227
2020-09-09,29.41056,33.90957,21.31109,19.96995,28.2121
2020-09-10,24.38922,32.979,49.74307,26.067,29.9485
2020-09-11,28.84972,29.66109,31.54301,22.34585,18.74619
2020-09-12,27.63674,27.31247,35.15013,27.44586,20.8238
2020-09-13,20.87308,22.80496,16.58557,18.57213,18.56281
2020-09-14,16.94675,19.40678,14.88075,18.13091,18.30713
2020-09-15,19.17537,15.42293,17.68229,19.00302,20.55887
2020-09-16,12.49426,14.9988,19.00585,18.31218,24.0558
2020-09-17,12.34004,21.06636,23.03098,18.90203,18.38146
2020-09-18,23.33945,17.92959,24.32166,30.41341,34.05169
2020-09-19,42.76381,22.59998,19.50278,24.47542,27.8018
2020-09-20,34.35431,28.91044,24.05293,23.57939,27.11358
2020-09-21,28.23613,24.00335,21.27296,22.77112,24.49576
2020-09-22,16.78236,19.11522,15.77716,16.48918,19.46799
2020-09-23,8.04398,10.4198,12.29275,14.46682,21.65873
2020-09-24,5.11893,9.20757,8.37739,9.10732,11.60845
2020-09-25,1.40984,2.70311,1.83216,4.52977,12.37307
2020-09-26,3.42679,3.01835,4.48137,7.79686,4.65768
2020-09-27,2.36314,2.63977,1.93985,3.48325,4.04779
2020-10-04,1.29233,1.45161,1.00632,0.13591,1.37025
2020-10-05,0.57706,0.63746,0.93638,0.97198,0.23127
2020-10-06,2.24275,4.40862,3.64458,2.3388,1.09277
2020-10-07,5.834,10.33074,5.41871,3.06014,0.2429
2020-10-08,16.90838,16.1243,13.31057,12.30233,4.59101
2020-10-09,7.08929,21.71199,18.1598,27.53942,16.84421
2020-10-10,15.61989,12.3181,9.6392,9.14353,7.76445
2020-10-11,14.07558,19.33224,15.88092,16.09765,12.74469
2020-10-12,20.62565,18.34819,15.4069,13.91061,17.60082
2020-10-13,24.45541,24.60754,22.60515,16.49757,24.04692
2020-10-14,19.36392,22.0496,21.90429,17.08588,10.9342
2020-10-15,15.604,13.54833,13.93079,21.77456,18.69262
2020-10-16,9.22299,15.59975,15.00018,9.65253,4.23561
